year,month,oilgas_emp,N,state
2013,7,,"","ARIZONA"
2013,8,,"","ARIZONA"
2013,9,,"","ARIZONA"
2013,10,,"","ARIZONA"
2013,11,,"","ARIZONA"
2013,12,,"","ARIZONA"
2003,1,366,"369","ARKANSAS"
2003,2,359,"369","ARKANSAS"
2003,3,361,"369","ARKANSAS"
2003,4,368,"369","ARKANSAS"
2003,5,366,"369","ARKANSAS"
2003,6,376,"369","ARKANSAS"
2003,7,371,"369","ARKANSAS"
2003,8,375,"369","ARKANSAS"
2003,9,363,"369","ARKANSAS"
2003,10,377,"369","ARKANSAS"
2003,11,372,"369","ARKANSAS"
2003,12,372,"369","ARKANSAS"
2004,1,369,"372","ARKANSAS"
2004,2,368,"372","ARKANSAS"
2004,3,371,"372","ARKANSAS"
2004,4,382,"372","ARKANSAS"
2004,5,383,"372","ARKANSAS"
2004,6,374,"372","ARKANSAS"
2004,7,373,"372","ARKANSAS"
2004,8,373,"372","ARKANSAS"
2004,9,365,"372","ARKANSAS"
2004,10,367,"372","ARKANSAS"
2004,11,367,"372","ARKANSAS"
2004,12,376,"372","ARKANSAS"
2005,1,373,"390","ARKANSAS"
2005,2,370,"390","ARKANSAS"
2005,3,374,"390","ARKANSAS"
2005,4,378,"390","ARKANSAS"
2005,5,380,"390","ARKANSAS"
2005,6,389,"390","ARKANSAS"
2005,7,403,"390","ARKANSAS"
2005,8,398,"390","ARKANSAS"
2005,9,393,"390","ARKANSAS"
2005,10,400,"390","ARKANSAS"
2005,11,415,"390","ARKANSAS"
2005,12,410,"390","ARKANSAS"
2006,1,392,"433","ARKANSAS"
2006,2,392,"433","ARKANSAS"
2006,3,404,"433","ARKANSAS"
2006,4,415,"433","ARKANSAS"
2006,5,415,"433","ARKANSAS"
2006,6,420,"433","ARKANSAS"
2006,7,424,"433","ARKANSAS"
2006,8,426,"433","ARKANSAS"
2006,9,439,"433","ARKANSAS"
2006,10,460,"433","ARKANSAS"
2006,11,507,"433","ARKANSAS"
2006,12,505,"433","ARKANSAS"
2007,1,676,"733","ARKANSAS"
2007,2,705,"733","ARKANSAS"
2007,3,762,"733","ARKANSAS"
2007,4,756,"733","ARKANSAS"
2007,5,774,"733","ARKANSAS"
2007,6,786,"733","ARKANSAS"
2007,7,744,"733","ARKANSAS"
2007,8,746,"733","ARKANSAS"
2007,9,763,"733","ARKANSAS"
2007,10,689,"733","ARKANSAS"
2007,11,693,"733","ARKANSAS"
2007,12,705,"733","ARKANSAS"
2008,1,856,"961","ARKANSAS"
2008,2,843,"961","ARKANSAS"
2008,3,923,"961","ARKANSAS"
2008,4,928,"961","ARKANSAS"
2008,5,1011,"961","ARKANSAS"
2008,6,1046,"961","ARKANSAS"
2008,7,976,"961","ARKANSAS"
2008,8,949,"961","ARKANSAS"
2008,9,981,"961","ARKANSAS"
2008,10,1021,"961","ARKANSAS"
2008,11,1071,"961","ARKANSAS"
2008,12,924,"961","ARKANSAS"
2009,1,882,"874","ARKANSAS"
2009,2,876,"874","ARKANSAS"
2009,3,867,"874","ARKANSAS"
2009,4,817,"874","ARKANSAS"
2009,5,857,"874","ARKANSAS"
2009,6,840,"874","ARKANSAS"
2009,7,848,"874","ARKANSAS"
2009,8,884,"874","ARKANSAS"
2009,9,875,"874","ARKANSAS"
2009,10,903,"874","ARKANSAS"
2009,11,908,"874","ARKANSAS"
2009,12,932,"874","ARKANSAS"
2010,1,916,"968","ARKANSAS"
2010,2,920,"968","ARKANSAS"
2010,3,952,"968","ARKANSAS"
2010,4,1009,"968","ARKANSAS"
2010,5,1039,"968","ARKANSAS"
2010,6,984,"968","ARKANSAS"
2010,7,961,"968","ARKANSAS"
2010,8,944,"968","ARKANSAS"
2010,9,953,"968","ARKANSAS"
2010,10,968,"968","ARKANSAS"
2010,11,980,"968","ARKANSAS"
2010,12,987,"968","ARKANSAS"
2011,1,1355,"1530","ARKANSAS"
2011,2,1379,"1530","ARKANSAS"
2011,3,1385,"1530","ARKANSAS"
2011,4,1442,"1530","ARKANSAS"
2011,5,1392,"1530","ARKANSAS"
2011,6,1507,"1530","ARKANSAS"
2011,7,1630,"1530","ARKANSAS"
2011,8,1642,"1530","ARKANSAS"
2011,9,1642,"1530","ARKANSAS"
2011,10,1664,"1530","ARKANSAS"
2011,11,1660,"1530","ARKANSAS"
2011,12,1663,"1530","ARKANSAS"
2012,1,1673,"1640","ARKANSAS"
2012,2,1667,"1640","ARKANSAS"
2012,3,1665,"1640","ARKANSAS"
2012,4,1630,"1640","ARKANSAS"
2012,5,1632,"1640","ARKANSAS"
2012,6,1633,"1640","ARKANSAS"
2012,7,1624,"1640","ARKANSAS"
2012,8,1636,"1640","ARKANSAS"
2012,9,1646,"1640","ARKANSAS"
2012,10,1646,"1640","ARKANSAS"
2012,11,1649,"1640","ARKANSAS"
2012,12,1575,"1640","ARKANSAS"
2013,1,1521,"","ARKANSAS"
2013,2,1544,"","ARKANSAS"
2013,3,1543,"","ARKANSAS"
2013,4,,"","ARKANSAS"
2013,5,,"","ARKANSAS"
2013,6,,"","ARKANSAS"
2013,7,,"","ARKANSAS"
2013,8,,"","ARKANSAS"
2013,9,,"","ARKANSAS"
2013,10,,"","ARKANSAS"
2013,11,,"","ARKANSAS"
2013,12,,"","ARKANSAS"
2003,1,7063,"7166","CALIFORNIA"
2003,2,7187,"7166","CALIFORNIA"
2003,3,7250,"7166","CALIFORNIA"
2003,4,7013,"7166","CALIFORNIA"
2003,5,7045,"7166","CALIFORNIA"
2003,6,7054,"7166","CALIFORNIA"
2003,7,7139,"7166","CALIFORNIA"
2003,8,7077,"7166","CALIFORNIA"
2003,9,6855,"7166","CALIFORNIA"
2003,10,7529,"7166","CALIFORNIA"
2003,11,7334,"7166","CALIFORNIA"
2003,12,7447,"7166","CALIFORNIA"
2004,1,7759,"7698","CALIFORNIA"
2004,2,7759,"7698","CALIFORNIA"
2004,3,7792,"7698","CALIFORNIA"
2004,4,7792,"7698","CALIFORNIA"
2004,5,7759,"7698","CALIFORNIA"
2004,6,7799,"7698","CALIFORNIA"
2004,7,7565,"7698","CALIFORNIA"
2004,8,7552,"7698","CALIFORNIA"
2004,9,7470,"7698","CALIFORNIA"
2004,10,7728,"7698","CALIFORNIA"
2004,11,7710,"7698","CALIFORNIA"
2004,12,7695,"7698","CALIFORNIA"
2005,1,7482,"7600","CALIFORNIA"
2005,2,7523,"7600","CALIFORNIA"
2005,3,7568,"7600","CALIFORNIA"
2005,4,7491,"7600","CALIFORNIA"
2005,5,7494,"7600","CALIFORNIA"
2005,6,7604,"7600","CALIFORNIA"
2005,7,7677,"7600","CALIFORNIA"
2005,8,7708,"7600","CALIFORNIA"
2005,9,7654,"7600","CALIFORNIA"
2005,10,7651,"7600","CALIFORNIA"
2005,11,7663,"7600","CALIFORNIA"
2005,12,7683,"7600","CALIFORNIA"
2006,1,7772,"8083","CALIFORNIA"
2006,2,7834,"8083","CALIFORNIA"
2006,3,7921,"8083","CALIFORNIA"
2006,4,7940,"8083","CALIFORNIA"
2006,5,8014,"8083","CALIFORNIA"
2006,6,8140,"8083","CALIFORNIA"
2006,7,8196,"8083","CALIFORNIA"
2006,8,8279,"8083","CALIFORNIA"
2006,9,8269,"8083","CALIFORNIA"
2006,10,8204,"8083","CALIFORNIA"
2006,11,8172,"8083","CALIFORNIA"
2006,12,8256,"8083","CALIFORNIA"
2007,1,7904,"8112","CALIFORNIA"
2007,2,7972,"8112","CALIFORNIA"
2007,3,7959,"8112","CALIFORNIA"
2007,4,8001,"8112","CALIFORNIA"
2007,5,8085,"8112","CALIFORNIA"
2007,6,8111,"8112","CALIFORNIA"
2007,7,8211,"8112","CALIFORNIA"
2007,8,8284,"8112","CALIFORNIA"
2007,9,8242,"8112","CALIFORNIA"
2007,10,8153,"8112","CALIFORNIA"
2007,11,8176,"8112","CALIFORNIA"
2007,12,8243,"8112","CALIFORNIA"
2008,1,8442,"8729","CALIFORNIA"
2008,2,8494,"8729","CALIFORNIA"
2008,3,8509,"8729","CALIFORNIA"
2008,4,8575,"8729","CALIFORNIA"
2008,5,8541,"8729","CALIFORNIA"
2008,6,8607,"8729","CALIFORNIA"
2008,7,8900,"8729","CALIFORNIA"
2008,8,8892,"8729","CALIFORNIA"
2008,9,8864,"8729","CALIFORNIA"
2008,10,8963,"8729","CALIFORNIA"
2008,11,8970,"8729","CALIFORNIA"
2008,12,8996,"8729","CALIFORNIA"
2009,1,8543,"8489","CALIFORNIA"
2009,2,8551,"8489","CALIFORNIA"
2009,3,8526,"8489","CALIFORNIA"
2009,4,8732,"8489","CALIFORNIA"
2009,5,8529,"8489","CALIFORNIA"
2009,6,8609,"8489","CALIFORNIA"
2009,7,8595,"8489","CALIFORNIA"
2009,8,8452,"8489","CALIFORNIA"
2009,9,8387,"8489","CALIFORNIA"
2009,10,8369,"8489","CALIFORNIA"
2009,11,8316,"8489","CALIFORNIA"
2009,12,8257,"8489","CALIFORNIA"
2010,1,8633,"8755","CALIFORNIA"
2010,2,8653,"8755","CALIFORNIA"
2010,3,8775,"8755","CALIFORNIA"
2010,4,8760,"8755","CALIFORNIA"
2010,5,8742,"8755","CALIFORNIA"
2010,6,8821,"8755","CALIFORNIA"
2010,7,8943,"8755","CALIFORNIA"
2010,8,8909,"8755","CALIFORNIA"
2010,9,8772,"8755","CALIFORNIA"
2010,10,8705,"8755","CALIFORNIA"
2010,11,8677,"8755","CALIFORNIA"
2010,12,8673,"8755","CALIFORNIA"
2011,1,8912,"9063","CALIFORNIA"
2011,2,8829,"9063","CALIFORNIA"
2011,3,8823,"9063","CALIFORNIA"
2011,4,9002,"9063","CALIFORNIA"
2011,5,9013,"9063","CALIFORNIA"
2011,6,9132,"9063","CALIFORNIA"
2011,7,9159,"9063","CALIFORNIA"
2011,8,9133,"9063","CALIFORNIA"
2011,9,9019,"9063","CALIFORNIA"
2011,10,9246,"9063","CALIFORNIA"
2011,11,9238,"9063","CALIFORNIA"
2011,12,9254,"9063","CALIFORNIA"
2012,1,9684,"9748","CALIFORNIA"
2012,2,9508,"9748","CALIFORNIA"
2012,3,9545,"9748","CALIFORNIA"
2012,4,9615,"9748","CALIFORNIA"
2012,5,9600,"9748","CALIFORNIA"
2012,6,9736,"9748","CALIFORNIA"
2012,7,9936,"9748","CALIFORNIA"
2012,8,9975,"9748","CALIFORNIA"
2012,9,9852,"9748","CALIFORNIA"
2012,10,9800,"9748","CALIFORNIA"
2012,11,9864,"9748","CALIFORNIA"
2012,12,9860,"9748","CALIFORNIA"
2013,1,9730,"","CALIFORNIA"
2013,2,9780,"","CALIFORNIA"
2013,3,9761,"","CALIFORNIA"
2013,4,,"","CALIFORNIA"
2013,5,,"","CALIFORNIA"
2013,6,,"","CALIFORNIA"
2013,7,,"","CALIFORNIA"
2013,8,,"","CALIFORNIA"
2013,9,,"","CALIFORNIA"
2013,10,,"","CALIFORNIA"
2013,11,,"","CALIFORNIA"
2013,12,,"","CALIFORNIA"
2003,1,3988,"4124","COLORADO"
2003,2,4008,"4124","COLORADO"
2003,3,4021,"4124","COLORADO"
2003,4,4045,"4124","COLORADO"
2003,5,4056,"4124","COLORADO"
2003,6,4122,"4124","COLORADO"
2003,7,4175,"4124","COLORADO"
2003,8,4175,"4124","COLORADO"
2003,9,4151,"4124","COLORADO"
2003,10,4193,"4124","COLORADO"
2003,11,4238,"4124","COLORADO"
2003,12,4312,"4124","COLORADO"
2004,1,4111,"4304","COLORADO"
2004,2,4149,"4304","COLORADO"
2004,3,4174,"4304","COLORADO"
2004,4,4190,"4304","COLORADO"
2004,5,4243,"4304","COLORADO"
2004,6,4291,"4304","COLORADO"
2004,7,4375,"4304","COLORADO"
2004,8,4411,"4304","COLORADO"
2004,9,4377,"4304","COLORADO"
2004,10,4409,"4304","COLORADO"
2004,11,4447,"4304","COLORADO"
2004,12,4467,"4304","COLORADO"
2005,1,4253,"4703","COLORADO"
2005,2,4341,"4703","COLORADO"
2005,3,4375,"4703","COLORADO"
2005,4,4396,"4703","COLORADO"
2005,5,4454,"4703","COLORADO"
2005,6,4765,"4703","COLORADO"
2005,7,4860,"4703","COLORADO"
2005,8,4919,"4703","COLORADO"
2005,9,4914,"4703","COLORADO"
2005,10,4982,"4703","COLORADO"
2005,11,5056,"4703","COLORADO"
2005,12,5126,"4703","COLORADO"
2006,1,5106,"5561","COLORADO"
2006,2,5197,"5561","COLORADO"
2006,3,5272,"5561","COLORADO"
2006,4,5313,"5561","COLORADO"
2006,5,5404,"5561","COLORADO"
2006,6,5566,"5561","COLORADO"
2006,7,5641,"5561","COLORADO"
2006,8,5735,"5561","COLORADO"
2006,9,5711,"5561","COLORADO"
2006,10,5832,"5561","COLORADO"
2006,11,5921,"5561","COLORADO"
2006,12,6030,"5561","COLORADO"
2007,1,6445,"6908","COLORADO"
2007,2,6501,"6908","COLORADO"
2007,3,6578,"6908","COLORADO"
2007,4,6651,"6908","COLORADO"
2007,5,6729,"6908","COLORADO"
2007,6,6967,"6908","COLORADO"
2007,7,7077,"6908","COLORADO"
2007,8,7142,"6908","COLORADO"
2007,9,7126,"6908","COLORADO"
2007,10,7170,"6908","COLORADO"
2007,11,7233,"6908","COLORADO"
2007,12,7276,"6908","COLORADO"
2008,1,7358,"7882","COLORADO"
2008,2,7397,"7882","COLORADO"
2008,3,7474,"7882","COLORADO"
2008,4,7600,"7882","COLORADO"
2008,5,7694,"7882","COLORADO"
2008,6,7878,"7882","COLORADO"
2008,7,8051,"7882","COLORADO"
2008,8,8128,"7882","COLORADO"
2008,9,8090,"7882","COLORADO"
2008,10,8270,"7882","COLORADO"
2008,11,8308,"7882","COLORADO"
2008,12,8334,"7882","COLORADO"
2009,1,8238,"7877","COLORADO"
2009,2,8133,"7877","COLORADO"
2009,3,8074,"7877","COLORADO"
2009,4,7911,"7877","COLORADO"
2009,5,7904,"7877","COLORADO"
2009,6,7928,"7877","COLORADO"
