"","psraid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","smsa","susr","igender","irace","iloc","form","llitext0","llitext","cpitext0","cpitext","qs1","thought","campnii","reg","precinct","folgov","q5","q5a","q5horse","q5b","q7","q8","swing","swingdet","oftvote","planto1","planto2","q15a","q15b","q15c","q15d","q20","q21","q22","q26a","q26b","q26c","q26d","q26e","q26f","q26g","q27a","q27b","q27c","q27d","q27e","q27f","q28","q34","q35af1","q35bf1","q35cf1","q35df1","q35ff1","q35gf1","q35h","q35if2","q35jf2","q35kf2","q35mf2","q35nf2","q39","q40f1","q42f1","q43f2","q52","q56","q57f1","q58f1","q59f2","q60f2","q61","q61a","q62","q63","q64a","q64b","q64c","q65a","q65b","q65c","q66a","q66b","q66c","q67a","q67b","q67c","q67d","q68","q69","sex","age","educ2","hisp","race3m1","race3m2","race3m3","race3m4","racecmb","racethn","birth_hisp","relig","chr","born","attend","income","party","partyln","partyid","ideo","teaparty2","pvote08a","pvote08b","scale10","hh1","hh3","ql1","ql1a","qc1","lc2","lc3","money2","phoneuse","lvs7","battle","llweight","coweight","lvs7wt64","unlvs7wt64","weight"
"346",101574,"Landline",100712,121004,3,"No","English","Northeast","Pennsylvania",1,"R","Northeast","Pennsylvania",0,"R","Male","Black or African-American","PDS - Virginia","Form 2","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Little","Fairly closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Only moderately",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Yes, some","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","(VOL.) Don't know/Refused","Disapprove","Disapprove","Disapprove","Not supportive enough",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","No, would not","Yes, would help","No, would not","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Agree","Agree","Agree",NA,"Disagree with him on issues","Female",81,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"Yes, would","Once a week","20 to under $30,000","Republican",NA,"Republican","Very conservative","No opinion either way","Voted","McCain",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",6,"Democratic states",3.41666666666667,2.30434782608696,1.83333333333333,0,1.83333333333333
"347",101578,"Landline",100512,121004,2,"No","English","South","Virginia",3,"S","South","Virginia",47900,"S","Male","Some other race","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Nearly always","Yes","Absolutely certain","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse","Disapprove","Approve","Approve","Approve","Disapprove","Approve","Disapprove",NA,NA,NA,NA,NA,"About right","Not too well","Remove troops",NA,"To take a firm stand against Iranian actions","Getting tougher with China on economic issues","No, will not lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"No",NA,"Not a problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","No, would not","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Disagree with him on issues","Female",41,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"Yes, would","Once a week","75 to under $100,000","Republican",NA,"Republican","Conservative","Agree","Voted","McCain",10,5,2,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",7,"Battleground states",2.25,2.95652173913043,3.08333333333333,0,3.08333333333333
"348",101579,"Landline",100512,121004,2,"No","English","Northeast","Connecticut",4,"S","Northeast","Connecticut",35300,"S","Female","White","PDS - Virginia","Form 2","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Mostly favorable","Mostly unfavorable","Mostly favorable","Very unfavorable","Yes, a little","(VOL.) Don't know/Refused","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","(VOL.) Neither","Barack Obama","(VOL.) Neither","Barack Obama","(VOL.) Neither","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better",NA,NA,NA,NA,NA,NA,"Approve","Approve","Disapprove","Approve","Approve","Disapprove","About right",NA,NA,"Not quickly enough","To avoid a military conflict with Iran","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","Yes","Mostly because of human activity such as burning fossil fuels","Somewhat serious","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","(VOL.) Both equally",NA,"Female",71,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","More than once a week","(VOL.) Don't know/Refused","Independent","Republican","Republican","Liberal","Disagree","Voted","Obama",10,2,2,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",7,"Democratic states",2.08333333333333,1.43478260869565,1.33333333333333,0,1.33333333333333
"349",101581,"Landline",100512,121004,2,"No","English","Northeast","New York",5,"U","Northeast","New York",35620,"U","Female","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Mostly favorable","Very unfavorable","Very favorable","Mostly unfavorable","Yes, all","Mitt Romney","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better",NA,NA,NA,NA,NA,NA,"Approve","Approve","Disapprove","Approve","Approve","Disapprove","About right",NA,NA,"About right","To avoid a military conflict with Iran","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","Yes","Mostly because of human activity such as burning fossil fuels","Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","(VOL.) Both equally",NA,"Female",73,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Once a week","75 to under $100,000","Democrat",NA,"Democrat","Liberal","Disagree","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,NA,"Dual/few, some cell",7,"Democratic states",1,1,1,0,1
"350",101583,"Landline",100512,121004,2,"No","English","South","Georgia",4,"S","South","Georgia",12060,"S","Female","Black or African-American","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very favorable","Mostly favorable","Mostly favorable","Very favorable","Yes, all","Mitt Romney","Mostly confusing","(VOL.) Both equally","Mitt Romney","(VOL.) Both equally","(VOL.) Both equally","(VOL.) Both equally","Mitt Romney","(VOL.) Both equally","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","No effect so far","Disapprove","Approve","Disapprove","Disapprove","Approve","Approve","Approve",NA,NA,NA,NA,NA,"About right","Not too well","Keep troops in Afghanistan",NA,"To avoid a military conflict with Iran","Getting tougher with China on economic issues","Yes, will lead to lasting improvements","(VOL.) Don't know/Refused",NA,NA,"Yes","Mostly because of natural patterns in the earth’s environment","Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Agree","Agree","Agree",NA,"Disagree with him on issues","Female",45,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Once a week","30 to under $40,000","Independent","Republican","Republican","Moderate","No opinion either way","Voted","Other candidate",10,3,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",7,"Republican states",3.58333333333333,4.69565217391304,3.25,0,3.25
"351",101587,"Landline",100512,121004,2,"No","English","Midwest","Ohio",5,"U","Midwest","Ohio",17460,"U","Male","White","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"(VOL.) Some","Not too closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","No","Some of the time","(VOL.) Other candidate","(VOL.) Other candidate","Other/Refused to lean",NA,"Decided not to vote for him","Chance might vote for him","Other/Undecided","Other/Refused to lean/Undecided","Part of the time","Yes","Absolutely certain","Mostly favorable","Very unfavorable","(VOL.) Can’t rate","Mostly unfavorable","No, didn’t watch","(VOL.) Don't know/Refused",NA,"Mitt Romney","Barack Obama","Barack Obama","Barack Obama","Mitt Romney","Barack Obama","Mitt Romney","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","No effect so far","Approve","Disapprove","Disapprove","Disapprove","Disapprove","Approve","Approve",NA,NA,NA,NA,NA,"Too supportive","Not too well","Remove troops",NA,"To take a firm stand against Iranian actions","Getting tougher with China on economic issues","Yes, will lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","(VOL.) Don't know/Refused","Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","(VOL.) Depends/Both/Neither","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Disagree","Disagree","Disagree","Agree","Disagree with him on issues","Don’t trust him personally","Male",23,"High school graduate (Grade 12 with diploma or GED certificate)","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp",NA,"Atheist (do not believe in God)",NA,NA,"Never","(VOL.) Don't know/Refused","(VOL.) No preference","Democrat","Democrat","Moderate","Disagree","Did not vote (includes too young to vote)",NA,8,2,2,"No, do not","No",NA,NA,NA,NA,"LLO",2.5,"Battleground states",15.6666666666667,3.56521739130435,0,3.33333333333333,3.33333333333333
"352",101590,"Landline",100512,121004,2,"No","English","Midwest","Indiana",5,"U","Midwest","Indiana",26900,"U","Female","Black or African-American","PDS - Virginia","Form 2","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Little","Very closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Yes, a little","(VOL.) Neither/Both","Mostly confusing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Better",NA,NA,NA,NA,NA,NA,"Approve","(VOL.) Don't know/Refused","Disapprove","Approve","Approve","Disapprove","About right",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","Yes","Mostly because of human activity such as burning fossil fuels","Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",50,"Two year associate degree from any college or university","(VOL.) Don't know/Refused","(VOL.) Refused (e.g., includes non-race answers like American, Human, Homosapien, purple)",NA,NA,NA,"Don't know/Refused (VOL.)",NA,NA,"Nothing in particular",NA,NA,"A few times a year","75 to under $100,000","Democrat",NA,"Democrat","Moderate","Disagree","Did not vote (includes too young to vote)",NA,NA,4,4,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",0,"Republican states",16.0833333333333,6,0,4,4
"353",101595,"Landline",100512,121004,3,"No","English","Midwest","Ohio",4,"S","Midwest","Ohio",10420,"S","Male","White","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Mostly unfavorable","Very favorable","Mostly unfavorable","Mostly favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse","Disapprove","Approve","Disapprove","Approve","Disapprove","Approve","Disapprove",NA,NA,NA,NA,NA,"About right","Not too well","Keep troops in Afghanistan",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","No, will not lead to lasting improvements","Will be bad for the United States",NA,NA,"No",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","No, would not","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"(VOL.) Both equally","Male",65,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Once a week","75 to under $100,000","Republican",NA,"Republican","Conservative","Agree","Voted","McCain",10,2,2,"No, do not","Yes, someone in household has cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",7,"Battleground states",5.33333333333333,2.30434782608696,2.66666666666667,0,2.66666666666667
"354",101596,"Landline",100512,121004,3,"No","English","Northeast","Pennsylvania",3,"S","Northeast","Pennsylvania",10900,"S","Female","Black or African-American","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Only moderately",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very unfavorable","Mostly unfavorable","Mostly favorable","(VOL.) Never heard of","Yes, a little","Mitt Romney","Mostly confusing","Mitt Romney","Mitt Romney","Mitt Romney","Barack Obama","Mitt Romney","(VOL.) Neither","(VOL.) Neither","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Barack Obama","Mitt Romney","Worse","Disapprove","Disapprove","Approve","Approve","Approve","Disapprove","Disapprove",NA,NA,NA,NA,NA,"Too supportive","Not at all well","Remove troops",NA,"To avoid a military conflict with Iran","Getting tougher with China on economic issues","No, will not lead to lasting improvements","Will be bad for the United States",NA,NA,"Yes","Mostly because of natural patterns in the earth’s environment","Somewhat serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","Yes, would help","Yes, would help","No, would not","Barack Obama","Barack Obama","Mitt Romney","Agree","Agree","Agree","Agree",NA,"Don’t trust him personally","Male",70,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Something else (VOL./SPECIFY)","Yes","No, would not","Seldom","50 to under $75,000","Independent","Republican","Republican","Very conservative","Agree","Voted","Other candidate",10,1,NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,NA,"Dual/few, some cell",7,"Democratic states",1.58333333333333,1.04347826086957,1.125,0,1.125
"355",101598,"Landline",100512,121004,3,"No","English","Northeast","New York",1,"R","Northeast","New York",0,"R","Female","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Only moderately",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Fairly certain","Very unfavorable","Mostly favorable","Very unfavorable","Very favorable","Yes, some","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","(VOL.) Don't know/Refused","Mitt Romney","Barack Obama","(VOL.) Neither","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Approve","Approve","(VOL.) Don't know/Refused","Disapprove","Disapprove","Not supportive enough",NA,NA,"Too quickly","To take a firm stand against Iranian actions","(VOL.) Don't know/Refused",NA,NA,"(VOL.) Neither/As involved as we should be","Democratic governments, even if there is less stability in the region","Yes","Mostly because of natural patterns in the earth’s environment","Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","Yes, would help","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Disagree with him on issues","Male",54,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Christian (VOL.)",NA,"Yes, would","Once a week","$150,000 or more","Independent","Republican","Republican","Conservative","Agree","Voted","McCain",10,5,3,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",6,"Democratic states",4.25,2.26086956521739,1.75,0,1.75
"356",101600,"Landline",100512,121004,3,"No","English","Northeast","New York",5,"S","Northeast","New York",35620,"S","Male","Black or African-American","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Male first",NA,NA,NA,"Quite a lot","Fairly closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Yes, some","Mitt Romney","Mostly informative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No effect so far","Disapprove","Disapprove","Disapprove","(VOL.) Don't know/Refused","Approve","Approve","Disapprove",NA,NA,NA,NA,NA,"About right","Not at all well","Remove troops",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","No, will not lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","Yes, would help","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",40,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Jewish (Judaism)",NA,NA,"Never","40 to under $50,000","Democrat",NA,"Democrat","Liberal","No opinion either way","Voted","Obama",NA,4,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",0,"Democratic states",8.41666666666667,8.60869565217391,0,6.75,6.75
"357",101606,"Landline",100612,121004,4,"No","English","Northeast","Pennsylvania",4,"S","Northeast","Pennsylvania",37980,"S","Male","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Mostly unfavorable","Very favorable","Very unfavorable","Mostly favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Barack Obama","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Approve","Disapprove","Approve","Disapprove","About right",NA,NA,"Too quickly","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Democratic governments, even if there is less stability in the region","Yes","Mostly because of natural patterns in the earth’s environment","Very serious problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","Barack Obama","Barack Obama","Mitt Romney","Agree","Disagree","Agree","Agree",NA,"Don’t trust him personally","Female",74,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","A few times a year","40 to under $50,000","Republican",NA,"Republican","Very conservative","No opinion either way","Voted","McCain",10,1,NA,"No, do not",NA,NA,NA,NA,NA,"LLO",7,"Democratic states",3.5,3.08695652173913,3.04166666666667,0,3.04166666666667
"358",101612,"Landline",100512,121005,2,"No","English","Northeast","Massachusetts",3,"S","Northeast","Massachusetts",12700,"S","Male","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","No","Some of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","(VOL.) Don't know/Refused","Approve","Approve","Disapprove","Disapprove","Not supportive enough",NA,NA,"Too quickly","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","No",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","Yes, would help","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Disagree with him on issues","Female",66,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Nothing in particular",NA,NA,"A few times a year","40 to under $50,000","Republican",NA,"Republican","Moderate","Agree","Voted","McCain",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",6,"Democratic states",2.08333333333333,1.52173913043478,1.58333333333333,0,1.58333333333333
"359",101614,"Landline",100712,121005,3,"Yes","English","South","Florida",5,"U","South","Florida",45300,"U","Male","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Little","Not too closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Some of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Nearly always","Yes","Absolutely certain","Very favorable","Very unfavorable","Very favorable","(VOL.) Can’t rate","Yes, a little","Barack Obama","Mostly informative","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Mitt Romney","Barack Obama","Barack Obama","Barack Obama","Barack Obama","No effect so far",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Approve","Disapprove","Disapprove","About right",NA,NA,"Not quickly enough","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Democratic governments, even if there is less stability in the region","No",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","Disagree with him on issues",NA,"Male",65,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Nothing in particular",NA,NA,"Never","30 to under $40,000","Democrat",NA,"Democrat","Moderate","No opinion either way","Voted","Obama",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",5,"Battleground states",6.58333333333333,6.26086956521739,3.54166666666667,0,3.54166666666667
